Ticker,close,ma10,mom12,trend_ok,score,avg_traded_value_60d_native,liq_ok,dup_drop,in_final,rank,pick,fail_liq,fail_dup,fail_trend
1308.T,3898.0,3526.7,0.4277808589716785,True,0.4277808589716785,1298877893.35,True,False,True,3.0,True,False,False,False
1597.T,1937.0,1968.8904907226563,0.1499196942766221,False,-inf,252854916.49392903,True,False,True,5.0,False,False,False,True
2558.T,32900.0,29866.1615234375,0.4573720324347641,True,0.4573720324347641,680988106.0833334,True,False,True,2.0,True,False,False,False
1482.T,1577.0,1601.3862182617188,-0.010906623093461687,False,-inf,170739280.83792317,True,False,True,6.0,False,False,False,True
2621.T,1039.0,1070.2644775390625,-0.04543217652312748,False,-inf,828588265.3493571,True,False,True,7.0,False,False,False,True
1326.T,67690.0,60594.0,0.5586000460511167,True,0.5586000460511167,,False,False,False,,,True,False,False
1658.T,4130.0,3553.562646484375,0.6297339194788236,True,0.6297339194788236,51602042.56738688,True,False,True,1.0,True,False,False,False
2620.T,372.8999938964844,354.4118408203125,0.16264717932732875,True,0.16264717932732875,108179431.73808289,True,False,True,4.0,False,False,False,False
