Ticker,close,ma10,mom12,trend_ok,score,avg_traded_value_60d_native,liq_ok,dup_drop,in_final,rank,pick
1308.T,4179.0,3740.4,0.4305004625237896,True,0.4305004625237896,1316307319.55,True,False,True,1.0,True
2620.T,377.6000061035156,362.0563995361328,0.16109170723650879,True,0.16109170723650879,88504257.42759196,True,False,True,2.0,True
1326.T,59690.0,63992.0,0.36778185151237386,False,-inf,902351771.3333334,True,False,True,3.0,True
1597.T,1865.0,1952.73525390625,0.06545238182243707,False,-inf,262318588.1816915,True,False,True,4.0,False
2621.T,1068.0,1070.9468505859375,0.01148441932044264,False,-inf,620871172.9433594,True,False,True,5.0,False
1482.T,1586.0,1599.7205688476563,-0.0016555175684261902,False,-inf,120843694.94894205,True,False,True,6.0,False
2558.T,3475.0,28101.7408203125,-0.8631240685078192,False,-inf,696102792.0692312,True,False,True,7.0,False
