Ticker,close,ma10,mom12,trend_ok,score,avg_traded_value_60d_native,liq_ok,dup_drop,in_final,rank,pick
1658.T,4525.0,3703.529443359375,0.6725915413671404,True,0.6725915413671404,58098110.21666667,True,False,True,1.0,True
1308.T,4133.0,3637.9,0.44024978624389033,True,0.44024978624389033,1319950379.4833333,True,False,True,2.0,True
2558.T,34760.0,30610.3408203125,0.43175489795727917,True,0.43175489795727917,712065429.9166666,True,False,True,3.0,True
