Ticker,close,ma10,mom12,trend_ok,score,avg_traded_value_60d_native,liq_ok,dup_drop,in_final,rank,pick,fail_liq,fail_dup,fail_trend
1308.T,3706.0,3214.2107177734374,0.31106539108543574,True,0.31106539108543574,1149649946.45,True,False,True,1.0,True,False,False,False
1597.T,2052.0,1926.1293212890625,0.22170651122223162,True,0.22170651122223162,312533013.8200256,True,False,True,2.0,True,False,False,False
2558.T,30610.0,27792.1033203125,0.1424702454977882,True,0.1424702454977882,805840471.1362305,True,False,True,3.0,True,False,False,False
1482.T,1611.0,1615.648046875,0.02675905645897636,False,-inf,154652445.98263142,True,False,True,5.0,False,False,False,True
2621.T,1068.0,1081.6024658203125,-0.00901766630760914,False,-inf,837552231.1370605,True,False,True,6.0,False,False,False,True
1326.T,73120.0,52779.0,0.8316633266533067,True,0.8316633266533067,,False,False,False,,,True,False,False
1658.T,3890.0,3223.5283935546877,0.4057040205306697,True,0.4057040205306697,27418831.316666666,False,False,False,,,True,False,False
2620.T,358.20001220703125,343.0380554199219,0.04237805928576721,True,0.04237805928576721,55827393.693730675,True,False,True,4.0,False,False,False,False
